
rst_sim
ini_cod 01
i2c_ch0 00 00 00 17
i2c_ch1 00 00 00 17
i2c_ch2 00 00 00 7d
i2c_ch3 00 00 00 7d
i2c_ch4 00 00 00 0a
i2c_ch5 00 00 00 08
i2c_ch6 00 00 00 00
i2c_ch7 00 00 00 02
i2c_ch8 00 00 00 00
i2c_ch9 00 00 00 01

ini_cod 05
i2c_ch0 00 00 00 0f
i2c_ch1 00 00 00 0f
i2c_ch2 00 00 00 00
i2c_ch3 00 00 00 79
i2c_ch4 00 00 00 0a
i2c_ch5 00 00 00 08
i2c_ch6 00 00 00 00
i2c_ch7 00 00 00 02
i2c_ch8 00 00 00 00
i2c_ch9 00 00 00 01

ini_cod 03
i2c_ch0 00 00 00 0f
i2c_ch1 00 00 00 0f
i2c_ch2 00 00 00 79
i2c_ch3 00 00 00 00
i2c_ch4 00 00 00 0a
i2c_ch5 00 00 00 08
i2c_ch6 00 00 00 00
i2c_ch7 00 00 00 02
i2c_ch8 00 00 00 00
i2c_ch9 00 00 00 01

ini_cod 07
i2c_ch0 00 00 00 0f
i2c_ch1 00 00 00 0f
i2c_ch2 00 00 00 00
i2c_ch3 00 00 00 00
i2c_ch4 00 00 00 0a
i2c_ch5 00 00 00 08
i2c_ch6 00 00 00 00
i2c_ch7 00 00 00 02
i2c_ch8 00 00 00 00
i2c_ch9 00 00 00 01

ini_cod 00
i2c_ch0 00 00 00 17
i2c_ch1 00 00 00 17
i2c_ch2 00 00 00 79
i2c_ch3 00 00 00 79
i2c_ch4 00 00 00 12
i2c_ch5 00 00 00 00
i2c_ch6 00 00 00 00
i2c_ch7 00 00 00 02
i2c_ch8 00 00 00 00
i2c_ch9 00 00 00 01
